City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
170,Changping,CN,2020-04-18 01:24:40,40.22,116.22,64.99,36,84,4.47,broken clouds,0.0,0.0
171,Barrow,US,2020-04-18 01:24:32,71.29,-156.79,10.4,85,90,17.22,light snow,0.0,0.0
172,Bernalillo,US,2020-04-18 01:20:58,35.05,-106.67,69.01,14,75,11.41,broken clouds,0.0,0.0
173,Mayo,US,2020-04-18 01:24:41,38.89,-76.51,54.0,62,75,9.17,broken clouds,0.0,0.0
174,Prince Rupert,CA,2020-04-18 01:24:41,54.32,-130.32,55.4,66,1,10.29,clear sky,0.0,0.0
175,Pevek,RU,2020-04-18 01:24:41,69.7,170.31,7.27,92,23,8.95,few clouds,0.0,0.0
176,New Norfolk,AU,2020-04-18 01:24:41,-42.78,147.06,55.99,78,63,1.99,broken clouds,0.0,0.0
177,Namibe,AO,2020-04-18 01:24:42,-15.2,12.15,74.03,69,25,5.12,light rain,0.85,0.0
178,Wanaka,NZ,2020-04-18 01:24:41,-44.7,169.15,52.61,49,76,8.59,light rain,0.38,0.0
179,Upernavik,GL,2020-04-18 01:24:42,72.79,-56.15,21.51,89,25,4.34,scattered clouds,0.0,0.0
180,Hay River,CA,2020-04-18 01:24:42,60.82,-115.8,33.8,74,75,4.7,broken clouds,0.0,0.0
181,Coquimbo,CL,2020-04-18 01:24:42,-29.95,-71.34,57.2,93,0,4.7,clear sky,0.0,0.0
182,Menongue,AO,2020-04-18 01:24:43,-14.66,17.69,64.13,51,58,4.45,broken clouds,0.0,0.0
183,Banda Aceh,ID,2020-04-18 01:24:43,5.56,95.32,79.25,80,88,2.8,overcast clouds,0.0,0.0
184,Opuwo,NA,2020-04-18 01:21:08,-18.06,13.84,72.52,31,80,1.92,broken clouds,0.0,0.0
185,Rio Verde De Mato Grosso,BR,2020-04-18 01:24:43,-18.92,-54.84,69.33,68,7,6.15,clear sky,0.0,0.0
186,Chardara,KZ,2020-04-18 01:24:44,41.25,67.97,55.17,54,0,3.49,clear sky,0.0,0.0
187,Maragogi,BR,2020-04-18 01:24:44,-9.01,-35.22,80.4,80,7,4.99,clear sky,0.0,0.0
188,Arboletes,CO,2020-04-18 01:24:44,8.85,-76.43,80.55,82,13,8.41,few clouds,0.0,0.0
189,Portoferraio,IT,2020-04-18 01:24:44,42.81,10.31,57.99,98,45,3.0,scattered clouds,0.0,0.0
190,Meulaboh,ID,2020-04-18 01:24:45,4.14,96.13,77.7,85,99,5.35,overcast clouds,0.0,0.0
191,Lavrentiya,RU,2020-04-18 01:22:49,65.58,-171.0,26.42,96,99,11.12,light snow,0.0,0.41
192,Berlevag,NO,2020-04-18 01:24:45,70.86,29.09,34.93,93,100,25.93,light snow,0.0,1.05
193,Erdenet,MN,2020-04-18 01:24:45,49.03,104.08,38.89,49,95,2.59,overcast clouds,0.0,0.0
194,Ankang,CN,2020-04-18 01:24:45,32.68,109.02,52.41,72,100,4.52,moderate rain,4.08,0.0
195,Cherskiy,RU,2020-04-18 01:24:46,68.75,161.3,7.34,90,17,7.02,few clouds,0.0,0.0
196,Zhigansk,RU,2020-04-18 01:23:53,66.77,123.37,-4.0,88,3,15.86,clear sky,0.0,0.0
197,Saint-Georges,GD,2020-04-18 01:24:46,12.06,-61.75,80.6,78,20,5.82,few clouds,0.0,0.0
198,Baracoa,CU,2020-04-18 01:24:46,20.35,-74.5,79.68,75,0,9.57,clear sky,0.0,0.0
199,Te Anau,NZ,2020-04-18 01:24:47,-45.42,167.72,50.41,59,75,11.23,light rain,0.71,0.0
200,Hamilton,US,2020-04-18 01:21:19,39.18,-84.53,48.99,93,90,17.22,moderate rain,0.0,0.0
201,Valparaiso,CL,2020-04-18 01:21:48,-33.04,-71.63,57.2,87,50,5.39,scattered clouds,0.0,0.0
202,Aripuana,BR,2020-04-18 01:24:48,-9.17,-60.63,73.96,92,47,1.12,light rain,0.81,0.0
203,Navalmoral De La Mata,ES,2020-04-18 01:24:49,39.89,-5.54,53.01,93,97,2.19,overcast clouds,0.0,0.0
204,Esperance,AU,2020-04-18 01:24:48,-33.87,121.9,71.6,46,60,19.46,broken clouds,0.0,0.0
205,Port-Gentil,GA,2020-04-18 01:24:49,-0.72,8.78,80.58,83,100,10.27,overcast clouds,0.0,0.0
206,The Pas,CA,2020-04-18 01:24:50,53.83,-101.25,39.2,89,90,9.17,overcast clouds,0.0,0.0
207,Lagoa,PT,2020-04-18 01:24:50,39.05,-27.98,60.04,69,31,10.4,scattered clouds,0.0,0.0
208,Labuhan,ID,2020-04-18 01:24:50,-6.88,112.21,81.18,82,68,3.47,broken clouds,0.0,0.0
209,Bud,US,2020-04-18 01:24:50,39.45,-86.18,39.2,86,90,16.11,overcast clouds,0.0,0.0
210,Kinablangan,PH,2020-04-18 01:24:51,7.69,126.55,82.65,72,67,4.92,light rain,1.77,0.0
211,College,US,2020-04-18 01:24:39,64.86,-147.8,46.99,65,90,1.63,light rain,0.0,0.0
