City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
193,Hithadhoo,MV,2020-04-17 03:32:14,-0.6,73.08,83.35,73,87,1.61
194,Tautira,PF,2020-04-17 03:32:21,-17.73,-149.15,86.0,70,66,9.17
195,Victoria,HK,2020-04-17 03:28:58,22.29,114.16,82.99,57,20,11.41
196,Kopargaon,IN,2020-04-17 03:32:21,19.88,74.48,88.27,25,0,6.38
197,Bambous Virieux,MU,2020-04-17 03:32:21,-20.34,57.76,77.0,83,40,13.87
198,Muroto,JP,2020-04-17 03:32:22,33.28,134.15,66.2,63,75,6.93
199,Ayagoz,KZ,2020-04-17 03:32:22,47.97,80.44,49.14,43,17,17.96
200,Montijo,PT,2020-04-17 03:32:15,38.71,-8.97,59.0,93,75,16.11
201,Lensk,RU,2020-04-17 03:32:22,60.73,114.93,24.66,86,92,8.61
202,Chokurdakh,RU,2020-04-17 03:32:23,70.63,147.92,-2.29,91,67,9.06
203,Tikrit,IQ,2020-04-17 03:32:23,34.61,43.68,67.05,41,47,7.09
204,Corrientes,AR,2020-04-17 03:30:47,-27.48,-58.83,61.0,67,1,5.82
205,Saint-Joseph,RE,2020-04-17 03:32:23,-21.37,55.62,73.4,73,7,8.05
206,Lusambo,CD,2020-04-17 03:32:23,-4.97,23.45,70.99,84,100,0.67
207,Rochegda,RU,2020-04-17 03:32:24,62.8,43.25,34.34,95,100,7.05
208,Lucapa,AO,2020-04-17 03:32:24,-8.42,20.74,67.23,74,99,2.84
209,Liverpool,GB,2020-04-17 03:32:24,53.41,-2.98,48.2,81,82,5.82
210,Lahij,YE,2020-04-17 03:32:24,13.17,44.58,76.73,69,30,5.91
211,Codrington,AU,2020-04-17 03:29:31,-38.27,141.97,60.21,64,84,18.19
212,Kozhva,RU,2020-04-17 03:32:25,65.11,57.05,34.59,84,100,7.34
213,Portland,US,2020-04-17 03:28:04,45.52,-122.68,66.2,25,20,13.87
214,Gilgit,PK,2020-04-17 03:32:25,35.92,74.31,55.27,28,100,2.35
215,Labuhan,ID,2020-04-17 03:32:25,-6.88,112.21,87.31,67,72,4.94
216,Mackenzie,CA,2020-04-17 03:32:16,55.3,-123.17,48.2,49,90,2.24
217,Port Lincoln,AU,2020-04-17 03:30:17,-34.73,135.87,64.85,52,26,10.8
218,Kokopo,PG,2020-04-17 03:32:26,-4.35,152.26,78.24,87,98,11.18
219,Emba,KZ,2020-04-17 03:32:26,48.83,58.14,42.93,77,100,4.52
220,Nizhniy Tsasuchey,RU,2020-04-17 03:32:27,50.52,115.13,58.96,27,0,9.95
221,Pilar,BR,2020-04-17 03:32:27,-9.6,-35.96,75.2,94,75,3.36
222,Lavrentiya,RU,2020-04-17 03:32:27,65.58,-171.0,31.8,98,100,7.16
223,Aden,YE,2020-04-17 03:30:03,12.78,45.04,82.54,78,5,11.48
224,Laguna,US,2020-04-17 03:32:27,38.42,-121.42,69.01,72,1,11.41
225,Bud,US,2020-04-17 03:32:28,39.45,-86.18,45.0,56,90,4.7
226,Mayo,US,2020-04-17 03:32:28,38.89,-76.51,45.0,39,1,9.17
227,Namwala,ZM,2020-04-17 03:32:28,-15.75,26.44,64.63,60,0,3.0
228,Concepcion,CL,2020-04-17 03:28:12,-36.83,-73.05,57.2,93,90,2.24
229,Kasongo,CD,2020-04-17 03:32:29,-4.45,26.67,70.16,81,100,2.21
